position, SAT_01, SAT_02, SAT_03, SAT_04, SAT_103, SAT_104, SAT_105, SAT_106, SAT_201, SAT_202, SAT_203, SAT_204, SAT_205, SAT_206, SAT_207, SAT_208, SAT_209, SAT_210, SAT_211, SAT_212, SAT_213, SAT_214, SAT_215, SAT_216, SAT_217, SAT_218, SAT_219, SAT_220, SAT_221, SAT_222, SAT_223, SAT_224, SAT_300, SAT_301, SAT_302, SAT_303, SAT_400, SAT_401, SAT_402, SAT_403
-76, -0.355634, -0.355634, -1.16901e-10, -1.16901e-10, -5.96209e-53, -5.96209e-53, -8.07377e-89, -8.07377e-89, -1.96371, -1.96371, 5.81312, 5.81312, -4.59836, -4.59836, 0.761415, 4.76076, -3.73735, -5.82091, -6.48301, -13.3163, 2.68362, 2.68362, 3.12672, 3.12672, -4.44101, -4.44101, 4.76076, 0.761415, -5.82091, -3.73735, -13.3163, -6.48301, 0, 0, 0, 0, 0, 0, 0, 0
-75.5, -0.323252, -0.323252, -8.66797e-11, -8.66797e-11, -1.18993e-52, -1.18993e-52, -1.96575e-88, -1.96575e-88, -1.84099, -1.84099, 5.89019, 5.89019, -4.5101, -4.5101, 0.635482, 4.91906, -3.62718, -6.14345, -6.40617, -13.2987, 2.65723, 2.65723, 3.22423, 3.22423, -4.27379, -4.27379, 4.91906, 0.635482, -6.14345, -3.62718, -13.2987, -6.40617, 0, 0, 0, 0, 0, 0, 0, 0
-75, -0.293257, -0.293257, -6.41501e-11, -6.41501e-11, -2.3702e-52, -2.3702e-52, -4.77661e-88, -4.77661e-88, -1.72463, -1.72463, 5.96868, 5.96868, -4.41871, -4.41871, 0.511775, 5.07935, -3.51099, -6.45906, -6.33317, -13.2841, 2.64141, 2.64141, 3.32631, 3.32631, -4.11344, -4.11344, 5.07935, 0.511775, -6.45906, -3.51099, -13.2841, -6.33317, 0, 0, 0, 0, 0, 0, 0, 0
-74.5, -0.265536, -0.265536, -4.7387e-11, -4.7387e-11, -4.71182e-52, -4.71182e-52, -1.15838e-87, -1.15838e-87, -1.61486, -1.61486, 6.04842, 6.04842, -4.32393, -4.32393, 0.39077, 5.24122, -3.38878, -6.76723, -6.26413, -13.2729, 2.63681, 2.63681, 3.43348, 3.43348, -3.96046, -3.96046, 5.24122, 0.39077, -6.76723, -3.38878, -13.2729, -6.26413, 0, 0, 0, 0, 0, 0, 0, 0
-74, -0.239974, -0.239974, -3.49384e-11, -3.49384e-11, -9.34827e-52, -9.34827e-52, -2.80363e-87, -2.80363e-87, -1.51189, -1.51189, 6.12923, 6.12923, -4.2255, -4.2255, 0.272927, 5.40419, -3.26051, -7.06749, -6.19915, -13.2653, 2.64403, 2.64403, 3.5462, 3.5462, -3.81534, -3.81534, 5.40419, 0.272927, -7.06749, -3.26051, -13.2653, -6.19915, 0, 0, 0, 0, 0, 0, 0, 0
-73.5, -0.216458, -0.216458, -2.57115e-11, -2.57115e-11, -1.85103e-51, -1.85103e-51, -6.77221e-87, -6.77221e-87, -1.41586, -1.41586, 6.21089, 6.21089, -4.12316, -4.12316, 0.158682, 5.56779, -3.12615, -7.35939, -6.13826, -13.2617, 2.66357, 2.66357, 3.66485, 3.66485, -3.67853, -3.67853, 5.56779, 0.158682, -7.35939, -3.12615, -13.2617, -6.13826, 0, 0, 0, 0, 0, 0, 0, 0
-73, -0.194871, -0.194871, -1.88857e-11, -1.88857e-11, -3.65794e-51, -3.65794e-51, -1.6326e-86, -1.6326e-86, -1.3269, -1.3269, 6.2932, 6.2932, -4.01668, -4.01668, 0.0484501, 5.73153, -2.98565, -7.64252, -6.0815, -13.2623, 2.69586, 2.69586, 3.78973, 3.78973, -3.55043, -3.55043, 5.73153, 0.0484501, -7.64252, -2.98565, -13.2623, -6.0815, 0, 0, 0, 0, 0, 0, 0, 0
-72.5, -0.1751, -0.1751, -1.38459e-11, -1.38459e-11, -7.21439e-51, -7.21439e-51, -3.92797e-86, -3.92797e-86, -1.24507, -1.24507, 6.37592, 6.37592, -3.90582, -3.90582, -0.0573766, 5.8949, -2.83896, -7.9165, -6.02883, -13.2673, 2.74127, 2.74127, 3.92108, 3.92108, -3.43138, -3.43138, 5.8949, -0.0573766, -7.9165, -2.83896, -13.2673, -6.02883, 0, 0, 0, 0, 0, 0, 0, 0
-72, -0.157033, -0.157033, -1.01319e-11, -1.01319e-11, -1.42005e-50, -1.42005e-50, -9.43184e-86, -9.43184e-86, -1.17044, -1.17044, 6.45882, 6.45882, -3.79035, -3.79035, -0.158433, 6.0574, -2.68599, -8.18099, -5.98021, -13.2769, 2.80008, 2.80008, 4.05906, 4.05906, -3.32167, -3.32167, 6.0574, -0.158433, -8.18099, -2.68599, -13.2769, -5.98021, 0, 0, 0, 0, 0, 0, 0, 0
-71.5, -0.140559, -0.140559, -7.40011e-12, -7.40011e-12, -2.78962e-50, -2.78962e-50, -2.26029e-85, -2.26029e-85, -1.103, -1.103, 6.54165, 6.54165, -3.67007, -3.67007, -0.254379, 6.21853, -2.52667, -8.4357, -5.93557, -13.2914, 2.87248, 2.87248, 4.20373, 4.20373, -3.22157, -3.22157, 6.21853, -0.254379, -8.4357, -2.52667, -13.2914, -5.93557, 0, 0, 0, 0, 0, 0, 0, 0
-71, -0.125571, -0.125571, -5.3947e-12, -5.3947e-12, -5.46925e-50, -5.46925e-50, -5.40595e-85, -5.40595e-85, -1.04272, -1.04272, 6.62416, 6.62416, -3.54477, -3.54477, -0.344904, 6.37779, -2.3609, -8.68037, -5.89478, -13.3108, 2.95859, 2.95859, 4.35511, 4.35511, -3.13126, -3.13126, 6.37779, -0.344904, -8.68037, -2.3609, -13.3108, -5.89478, 0, 0, 0, 0, 0, 0, 0, 0
-70.5, -0.111965, -0.111965, -3.92533e-12, -3.92533e-12, -1.07016e-49, -1.07016e-49, -1.29038e-84, -1.29038e-84, -0.989544, -0.989544, 6.70608, 6.70608, -3.41429, -3.41429, -0.429721, 6.53468, -2.1886, -8.91478, -5.85773, -13.3353, 3.05845, 3.05845, 4.5131, 4.5131, -3.05089, -3.05089, 6.53468, -0.429721, -8.91478, -2.1886, -13.3353, -5.85773, 0, 0, 0, 0, 0, 0, 0, 0
-70, -0.0996409, -0.0996409, -2.85079e-12, -2.85079e-12, -2.08984e-49, -2.08984e-49, -3.07402e-84, -3.07402e-84, -0.943368, -0.943368, 6.78715, 6.78715, -3.27844, -3.27844, -0.508574, 6.68873, -2.00968, -9.13876, -5.82426, -13.3649, 3.17202, 3.17202, 4.67757, 4.67757, -2.98053, -2.98053, 6.68873, -0.508574, -9.13876, -2.00968, -13.3649, -5.82426, 0, 0, 0, 0, 0, 0, 0, 0
-69.5, -0.0885023, -0.0885023, -2.0665e-12, -2.0665e-12, -4.07301e-49, -4.07301e-49, -7.30858e-84, -7.30858e-84, -0.904061, -0.904061, 6.8671, 6.8671, -3.13708, -3.13708, -0.581232, 6.83948, -1.82406, -9.35218, -5.7942, -13.3997, 3.29918, 3.29918, 4.84829, 4.84829, -2.92021, -2.92021, 6.83948, -0.581232, -9.35218, -1.82406, -13.3997, -5.7942, 0, 0, 0, 0, 0, 0, 0, 0
-69, -0.0784572, -0.0784572, -1.49514e-12, -1.49514e-12, -7.92243e-49, -7.92243e-49, -1.7342e-83, -1.7342e-83, -0.871459, -0.871459, 6.94563, 6.94563, -2.99008, -2.99008, -0.647494, 6.9865, -1.63165, -9.55494, -5.76734, -13.4397, 3.43971, 3.43971, 5.02497, 5.02497, -2.8699, -2.8699, 6.9865, -0.647494, -9.55494, -1.63165, -13.4397, -5.76734, 0, 0, 0, 0, 0, 0, 0, 0
-68.5, -0.069418, -0.069418, -1.07972e-12, -1.07972e-12, -1.53795e-48, -1.53795e-48, -4.10682e-83, -4.10682e-83, -0.845369, -0.845369, 7.02247, 7.02247, -2.8373, -2.8373, -0.707183, 7.12936, -1.43238, -9.74701, -5.74349, -13.4848, 3.59335, 3.59335, 5.20727, 5.20727, -2.82951, -2.82951, 7.12936, -0.707183, -9.74701, -1.43238, -13.4848, -5.74349, 0, 0, 0, 0, 0, 0, 0, 0
-68, -0.0613015, -0.0613015, -7.78245e-13, -7.78245e-13, -2.97964e-48, -2.97964e-48, -9.70625e-83, -9.70625e-83, -0.825563, -0.825563, 7.09732, 7.09732, -2.67866, -2.67866, -0.760149, 7.26767, -1.22622, -9.92837, -5.72242, -13.535, 3.75974, 3.75974, 5.39476, 5.39476, -2.79889, -2.79889, 7.26767, -0.760149, -9.92837, -1.22622, -13.535, -5.72242, 0, 0, 0, 0, 0, 0, 0, 0
-67.5, -0.0540294, -0.0540294, -5.59889e-13, -5.59889e-13, -5.76139e-48, -5.76139e-48, -2.28948e-82, -2.28948e-82, -0.811788, -0.811788, 7.16989, 7.16989, -2.51406, -2.51406, -0.806268, 7.40109, -1.0131, -10.0991, -5.70391, -13.5902, 3.93847, 3.93847, 5.587, 5.587, -2.77783, -2.77783, 7.40109, -0.806268, -10.0991, -1.0131, -13.5902, -5.70391, 0, 0, 0, 0, 0, 0, 0, 0
-67, -0.0475278, -0.0475278, -4.02036e-13, -4.02036e-13, -1.11181e-47, -1.11181e-47, -5.38968e-82, -5.38968e-82, -0.803762, -0.803762, 7.23988, 7.23988, -2.34343, -2.34343, -0.845438, 7.52927, -0.793013, -10.2592, -5.68773, -13.6503, 4.12903, 4.12903, 5.78347, 5.78347, -2.76607, -2.76607, 7.52927, -0.845438, -10.2592, -0.793013, -13.6503, -5.68773, 0, 0, 0, 0, 0, 0, 0, 0
-66.5, -0.0417277, -0.0417277, -2.88142e-13, -2.88142e-13, -2.14128e-47, -2.14128e-47, -1.26628e-81, -1.26628e-81, -0.801177, -0.801177, 7.30698, 7.30698, -2.16674, -2.16674, -0.877582, 7.65192, -0.565963, -10.4089, -5.67362, -13.7151, 4.33088, 4.33088, 5.98362, 5.98362, -2.76328, -2.76328, 7.65192, -0.877582, -10.4089, -0.565963, -13.7151, -5.67362, 0, 0, 0, 0, 0, 0, 0, 0
-66, -0.0365646, -0.0365646, -2.06123e-13, -2.06123e-13, -4.11584e-47, -4.11584e-47, -2.96917e-81, -2.96917e-81, -0.803699, -0.803699, 7.3709, 7.3709, -1.98393, -1.98393, -0.902644, 7.76879, -0.331972, -10.5482, -5.66136, -13.7844, 4.54341, 4.54341, 6.18686, 6.18686, -2.76911, -2.76911, 7.76879, -0.902644, -10.5482, -0.331972, -13.7844, -5.66136, 0, 0, 0, 0, 0, 0, 0, 0
