position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
129.1,0.2633,0.2653,0.4058,0.4064,1.3757,1.3782,-0.7126,-0.7142,-1.31,-1.3088,1.6921,1.6922,-0.8981,-0.8962,-1.3142,-1.3147,0.8479,0.8445,0.6887,0.6877,0.3352,0.3344,0.1589,0.1587,0.0809,0.0811,0
131.2,0.2614,0.2626,0.4007,0.4002,1.3574,1.359,-0.6665,-0.6689,-1.3811,-1.3782,1.7295,1.7288,-0.9476,-0.9458,-1.2767,-1.2771,0.8636,0.8607,0.6867,0.6851,0.3324,0.331,0.1572,0.1565,0.0795,0.0795,0
133.2,0.2577,0.2582,0.3935,0.3921,1.3338,1.3344,-0.6193,-0.6219,-1.4444,-1.4407,1.7672,1.7654,-1.0126,-1.0096,-1.2243,-1.2268,0.8797,0.8797,0.6827,0.6813,0.3287,0.3268,0.1547,0.1544,0.0786,0.0783,0
135.3,0.2526,0.2535,0.3855,0.3847,1.3064,1.3084,-0.5711,-0.5756,-1.5031,-1.498,1.8052,1.8046,-1.0884,-1.0865,-1.1635,-1.1657,0.8987,0.8994,0.6775,0.6758,0.3248,0.323,0.1525,0.1522,0.0793,0.077,0
137.3,0.2479,0.2476,0.3776,0.3758,1.2774,1.2785,-0.5242,-0.5271,-1.5564,-1.5519,1.8443,1.8421,-1.1713,-1.1721,-1.0969,-1.0944,0.9192,0.9182,0.6715,0.669,0.3202,0.3172,0.1503,0.1504,0.079,0.0758,0
139.3,0.2422,0.2418,0.3695,0.3661,1.2465,1.2443,-0.4771,-0.4764,-1.6053,-1.6036,1.8831,1.8787,-1.2612,-1.2607,-1.022,-1.0198,0.9382,0.9369,0.6634,0.6628,0.3134,0.3103,0.1471,0.149,0.0771,0.0782,0
141.4,0.2351,0.2369,0.3586,0.3574,1.2139,1.2104,-0.4275,-0.4265,-1.6552,-1.6546,1.9208,1.9176,-1.3535,-1.3507,-0.9425,-0.9442,0.955,0.9547,0.6535,0.655,0.3066,0.3056,0.1444,0.1454,0.0753,0.0793,0
143.4,0.2279,0.2294,0.3455,0.3468,1.1804,1.1774,-0.3761,-0.3749,-1.7072,-1.7076,1.9578,1.9566,-1.4408,-1.4397,-0.8651,-0.8656,0.9689,0.9686,0.6444,0.6448,0.3014,0.3014,0.142,0.1418,0.0727,0.0744,0
145.5,0.221,0.2204,0.3338,0.3345,1.1469,1.1458,-0.3236,-0.3222,-1.7611,-1.762,1.9939,1.993,-1.5229,-1.5226,-0.7938,-0.7931,0.9816,0.981,0.638,0.6366,0.2975,0.2974,0.1405,0.1403,0.0724,0.0704,0
147.6,0.2145,0.2124,0.3235,0.3233,1.1141,1.1153,-0.2704,-0.2692,-1.8168,-1.8176,2.0298,2.0286,-1.6023,-1.6029,-0.7293,-0.7276,0.9951,0.9955,0.6337,0.6321,0.2952,0.2951,0.1407,0.1401,0.0736,0.0696,0
149.6,0.2097,0.206,0.317,0.316,1.0832,1.0852,-0.2172,-0.218,-1.874,-1.873,2.062,2.0618,-1.6769,-1.6806,-0.6685,-0.6627,1.0099,1.0082,0.6301,0.6291,0.2947,0.2946,0.1424,0.1426,0.0746,0.0728,0
151.7,0.2064,0.202,0.3109,0.3098,1.0579,1.0585,-0.1664,-0.1686,-1.9319,-1.9269,2.0921,2.0869,-1.7486,-1.7501,-0.6067,-0.6005,1.0238,1.0208,0.628,0.6267,0.2953,0.2953,0.1449,0.1442,0.0767,0.0783,0
153.7,0.2005,0.2011,0.3004,0.3006,1.0374,1.0371,-0.1187,-0.1183,-1.9879,-1.9834,2.1196,2.1097,-1.8179,-1.8164,-0.544,-0.5402,1.0361,1.0385,0.6277,0.6241,0.2952,0.2958,0.1462,0.1427,0.077,0.079,0
155.8,0.1951,0.199,0.292,0.2923,1.0174,1.0163,-0.0713,-0.0677,-2.0407,-2.0402,2.1405,2.1331,-1.883,-1.8829,-0.4834,-0.4788,1.0519,1.0557,0.6284,0.6226,0.2944,0.2946,0.1457,0.1431,0.0762,0.0768,0
