position,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_31,BGA_32,BGA_33,BGA_34
423.5,0.481855,0.481964,0.805258,0.805167,-0.079006,-0.079623,-1.688877,-1.689116,0.969965,0.970594,0.491792,0.493656,-1.704458,-1.705076,0.27418,0.272621,0.7366,0.737221,0.391935,0.39265
425,0.464801,0.464946,0.791433,0.791134,-0.013377,-0.012109,-1.703785,-1.703847,0.897914,0.897005,0.575225,0.574165,-1.706995,-1.706135,0.220405,0.220565,0.745668,0.74525,0.40384,0.403593
426.5,0.448015,0.448135,0.778137,0.777156,0.051905,0.051134,-1.713834,-1.713225,0.821382,0.821968,0.657804,0.656417,-1.709394,-1.709734,0.165735,0.167471,0.755546,0.755753,0.416346,0.416001
428,0.43387,0.433874,0.766782,0.766794,0.112513,0.11253,-1.722757,-1.722765,0.744446,0.744457,0.73773,0.73773,-1.707636,-1.707635,0.109682,0.10967,0.766936,0.766929,0.428816,0.428814
429.5,0.419511,0.419301,0.754896,0.755194,0.170823,0.172872,-1.725641,-1.727352,0.664003,0.664922,0.818752,0.817991,-1.706452,-1.70643,0.050499,0.050801,0.780012,0.780499,0.44377,0.443712
431,0.407834,0.408476,0.746312,0.746266,0.226851,0.228586,-1.729451,-1.729937,0.583303,0.582033,0.896897,0.897914,-1.700148,-1.700273,-0.008919,-0.009108,0.792626,0.792011,0.456866,0.45712
432.5,0.39619,0.395793,0.737218,0.737365,0.282648,0.280635,-1.726372,-1.728282,0.497745,0.500721,0.971559,0.977466,-1.690352,-1.694618,-0.073802,-0.072622,0.807695,0.806421,0.47462,0.474
434,0.386709,0.384852,0.731378,0.731522,0.333515,0.332462,-1.725786,-1.724497,0.415071,0.414279,1.049895,1.048949,-1.68161,-1.677884,-0.136057,-0.139087,0.821794,0.818005,0.490807,0.489838
435.5,0.376655,0.376505,0.724806,0.721733,0.381595,0.381352,-1.716226,-1.713443,0.329932,0.327266,1.119864,1.118577,-1.661845,-1.659902,-0.206709,-0.208226,0.83503,0.835867,0.508499,0.508033
437,0.369223,0.368511,0.717748,0.718688,0.428466,0.428524,-1.706575,-1.706024,0.241871,0.242146,1.188476,1.185102,-1.636386,-1.638798,-0.277889,-0.272852,0.845566,0.847556,0.525453,0.526396
438.5,0.367771,0.367415,0.715027,0.710582,0.468276,0.470205,-1.69389,-1.68688,0.158727,0.150574,1.250676,1.244961,-1.607414,-1.606601,-0.354248,-0.34994,0.863452,0.862703,0.54505,0.549065
440,0.356818,0.357531,0.712717,0.709436,0.514301,0.513341,-1.678214,-1.679624,0.070635,0.07396,1.299545,1.299247,-1.566505,-1.565422,-0.429284,-0.431355,0.878472,0.878713,0.565062,0.565982
441.5,0.353494,0.353563,0.705594,0.705258,0.552824,0.551214,-1.656185,-1.657471,-0.012104,-0.011426,1.343304,1.349871,-1.521231,-1.523002,-0.509236,-0.511381,0.89207,0.892313,0.589177,0.588853
443,0.350626,0.350628,0.704472,0.704478,0.587852,0.587861,-1.636416,-1.63644,-0.094115,-0.094099,1.386237,1.386303,-1.469277,-1.469304,-0.589018,-0.589003,0.902302,0.902343,0.61006,0.610076
444.5,0.348199,0.347303,0.700824,0.699935,0.62249,0.620078,-1.610026,-1.608078,-0.175265,-0.175372,1.419267,1.417846,-1.405077,-1.406882,-0.67965,-0.676444,0.914681,0.91441,0.6343,0.633917
446,0.347678,0.345723,0.701362,0.701334,0.649909,0.652492,-1.580486,-1.582817,-0.260248,-0.258758,1.450675,1.449427,-1.337014,-1.331424,-0.767747,-0.773373,0.922294,0.920484,0.657422,0.658359
447.5,0.342824,0.342839,0.699839,0.698074,0.68063,0.683239,-1.552127,-1.549882,-0.341982,-0.34472,1.478859,1.474839,-1.257837,-1.252981,-0.862142,-0.865497,0.92528,0.926035,0.677868,0.6774
449,0.344199,0.342488,0.695849,0.69473,0.708293,0.710154,-1.516415,-1.516636,-0.424999,-0.425582,1.49642,1.496196,-1.17262,-1.169726,-0.952162,-0.95668,0.924004,0.927131,0.695226,0.696641
450.5,0.339528,0.34174,0.695352,0.695285,0.733665,0.735113,-1.479557,-1.481409,-0.508358,-0.506455,1.517544,1.515545,-1.092817,-1.091874,-1.041036,-1.039697,0.925501,0.921628,0.71496,0.714876
452,0.34095,0.342256,0.692862,0.693921,0.75443,0.75832,-1.436989,-1.443817,-0.59005,-0.584572,1.532071,1.531493,-1.016727,-1.015387,-1.116391,-1.119378,0.919954,0.922858,0.728218,0.728524
453.5,0.339919,0.339246,0.691314,0.690806,0.780853,0.778772,-1.40151,-1.399261,-0.66484,-0.665127,1.548695,1.546447,-0.949573,-0.951189,-1.187969,-1.185566,0.919625,0.920373,0.741727,0.741415
455,0.33847,0.338416,0.688699,0.688583,0.799656,0.800715,-1.356719,-1.356423,-0.741868,-0.742419,1.565174,1.564519,-0.898981,-0.898307,-1.240293,-1.240529,0.918339,0.918269,0.751728,0.751299
456.5,0.337285,0.337702,0.685322,0.685884,0.818677,0.817532,-1.310295,-1.309516,-0.815946,-0.816106,1.581107,1.580795,-0.860731,-0.862292,-1.278862,-1.277122,0.919193,0.919228,0.757646,0.757394
458,0.336617,0.336622,0.683875,0.683892,0.835905,0.835948,-1.263818,-1.263825,-0.888566,-0.888569,1.601059,1.601113,-0.845923,-0.845924,-1.295699,-1.295714,0.922469,0.922481,0.761314,0.76132
459.5,0.334686,0.334821,0.680173,0.680461,0.852962,0.851191,-1.214653,-1.213929,-0.957764,-0.957979,1.625455,1.625616,-0.855736,-0.854546,-1.29549,-1.296567,0.931841,0.931455,0.764719,0.76483
461,0.333245,0.333609,0.67708,0.678181,0.868706,0.869335,-1.165774,-1.166762,-1.026232,-1.02538,1.654726,1.653998,-0.885613,-0.885915,-1.277116,-1.276547,0.944552,0.944326,0.764731,0.765336
462.5,0.330061,0.331935,0.673536,0.675518,0.882209,0.884635,-1.117082,-1.113782,-1.088739,-1.090706,1.68654,1.68063,-0.933396,-0.931848,-1.245129,-1.240845,0.964183,0.957272,0.76457,0.762577
464,0.333208,0.330802,0.674279,0.67138,0.899353,0.898753,-1.070387,-1.063054,-1.153988,-1.158823,1.719342,1.717696,-0.992201,-0.996848,-1.195738,-1.1894,0.978581,0.976999,0.75534,0.758677
465.5,0.32837,0.325942,0.667505,0.666355,0.910573,0.911646,-1.013237,-1.008045,-1.214952,-1.220513,1.753077,1.755986,-1.06798,-1.073123,-1.135548,-1.133944,0.99096,0.99892,0.755635,0.75574
467,0.326534,0.323365,0.660778,0.663765,0.926821,0.923594,-0.96023,-0.954356,-1.27767,-1.284561,1.788779,1.7961,-1.149791,-1.155257,-1.066554,-1.065494,1.009188,1.014356,0.748056,0.749116
468.5,0.321547,0.322542,0.658915,0.659773,0.936222,0.932767,-0.900307,-0.899667,-1.342674,-1.342493,1.829736,1.830746,-1.238572,-1.240063,-0.99613,-0.994448,1.032383,1.031476,0.73976,0.738875
