position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_54,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-349,0,0,0,0,1.204576,1.199297,1.763862,1.771867,-1.683522,-1.689358,-3.319865,-3.319865,-3.320667,-3.320667,0.656436,0.656436,0.656901,0.656901,2.355655,2.377943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-345,0,0,0,0,0.901964,0.897546,1.958853,1.966396,-1.359468,-1.365815,-3.523971,-3.523971,-3.524086,-3.524086,0.482093,0.482093,0.481742,0.481742,2.444443,2.469691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-341,0,0,0,0,0.609977,0.606737,2.137545,2.144508,-1.044176,-1.051016,-3.685312,-3.685312,-3.684981,-3.684981,0.306864,0.306864,0.305896,0.305896,2.498075,2.525734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-338,0,0,0,0,0.422091,0.419806,2.280112,2.286475,-0.794844,-0.80183,-3.779742,-3.779742,-3.779337,-3.779337,0.144181,0.144181,0.142543,0.142543,2.491282,2.520383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-334,0,0,0,0,0.184378,0.1833,2.411048,2.416458,-0.511383,-0.518297,-3.850258,-3.850258,-3.849924,-3.849924,-0.040236,-0.040236,-0.042479,-0.042479,2.490653,2.521212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-330,0,0,0,0,0,0,2.505594,2.51006,-0.256732,-0.262972,-3.86391,-3.86391,-3.863948,-3.863948,-0.233591,-0.233591,-0.236229,-0.236229,2.467618,2.498757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-326,0,0,0,0,0,0,2.53033,2.534169,-0.064365,-0.069332,-3.85225,-3.85225,-3.852533,-3.852533,-0.489461,-0.489461,-0.492457,-0.492457,2.377179,2.407931,0.183982,0.181103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-323,0,0,0,0,0,0,2.559159,2.562454,0.103192,0.099802,-3.800344,-3.800344,-3.801244,-3.801244,-0.724071,-0.724071,-0.726666,-0.726666,2.261764,2.2918,0.342296,0.336899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-319,0,0,0,0,0,0,2.536742,2.539578,0.283062,0.281986,-3.689208,-3.689208,-3.690731,-3.690731,-1.026141,-1.026141,-1.028383,-1.028383,2.112846,2.141317,0.607672,0.598557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-315,0,0,0,0,0,0,2.481275,2.483751,0.459696,0.461047,-3.529416,-3.529416,-3.53138,-3.53138,-1.344554,-1.344554,-1.346371,-1.346371,1.940353,1.966815,0.898601,0.886133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
